# ============================================================================
# CHAOS REDUX - EVENT 006 INDEPENDENCE WAVE IDEAS REGISTRY
# ============================================================================
# Definition-only source consolidation. Original identifiers, values, and
# section order are preserved; source markers retain package provenance.
# Identical file-scoped constants are emitted once at the registry header.
# ============================================================================

# Consolidated file-scoped constants
@axx_crisis_stability = -0.10
@axx_crisis_supply = 0.10
@axx_crisis_defense = -0.06
@axx_mature_stability = 0.08
@axx_mature_supply = -0.06
@axx_mature_defense = 0.10
@axx_constitutional_pp = 0.08
@axx_constitutional_stability = 0.05
@axx_constitutional_research = 0.03
@axx_popular_factory = 0.08
@axx_popular_construction = 0.06
@axx_popular_consumer = -0.04
@axx_traditional_stability = 0.09
@axx_traditional_war_support = 0.08
@axx_traditional_recruitable = 0.04
@axx_emergency_defense = 0.12
@axx_emergency_org = 0.08
@axx_emergency_training = -0.08
@axx_patron_trade = 0.10
@axx_patron_dependency = 0.08
@bos_crisis_stability = -0.11
@bos_crisis_supply = 0.11
@bos_crisis_defense = -0.07
@bos_mature_stability = 0.08
@bos_mature_supply = -0.06
@bos_mature_defense = 0.11
@bos_constitutional_pp = 0.07
@bos_constitutional_stability = 0.06
@bos_constitutional_research = 0.03
@bos_popular_factory = 0.08
@bos_popular_construction = 0.07
@bos_popular_consumer = -0.04
@bos_traditional_stability = 0.10
@bos_traditional_war_support = 0.07
@bos_traditional_recruitable = 0.04
@bos_emergency_defense = 0.13
@bos_emergency_org = 0.08
@bos_emergency_training = -0.08
@bos_patron_trade = 0.10
@bos_patron_dependency = 0.08
@bri_crisis_stability = -0.10
@bri_crisis_dockyard = -0.15
@bri_crisis_supply = 0.10
@bri_crisis_convoy = -0.10
@bri_mature_stability = 0.05
@bri_mature_dockyard = 0.10
@bri_mature_dockyard_speed = 0.10
@bri_mature_convoy = 0.10
@bri_constitutional_pp = 0.10
@bri_constitutional_stability = 0.05
@bri_constitutional_research = 0.05
@bri_labor_factory = 0.10
@bri_labor_dockyard = 0.10
@bri_labor_consumer = -0.05
@bri_traditional_stability = 0.10
@bri_traditional_trade = 0.10
@bri_traditional_recruitable = 0.05
@bri_emergency_defense = 0.10
@bri_emergency_coordination = 0.10
@bri_emergency_pp = -0.05
@bri_patron_dockyard = 0.10
@bri_patron_convoy = 0.10
@bri_patron_pp = -0.05
@bri_patron_consumer = 0.05
@cat_crisis_stability = -0.10
@cat_crisis_supply = 0.10
@cat_crisis_factory = -0.05
@cat_mature_stability = 0.10
@cat_mature_supply = -0.08
@cat_mature_factory = 0.06
@cat_constitutional_stability = 0.06
@cat_constitutional_research = 0.05
@cat_constitutional_trade = 0.05
@cat_workers_factory = 0.10
@cat_workers_construction = 0.08
@cat_workers_consumer = -0.05
