# ============================================================================
# CHAOS REDUX - CANAL SCHEDULE EVENT LOG PAYLOADS
# ============================================================================

defined_text = {
	name = GetFalloutEvent628EventLogDetail
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.choice_joint compare = equals } } localization_key = fallout.event_log.canal_schedule.choice_joint }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.choice_upstream compare = equals } } localization_key = fallout.event_log.canal_schedule.choice_upstream }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.choice_guard compare = equals } } localization_key = fallout.event_log.canal_schedule.choice_guard }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.choice_council compare = equals } } localization_key = fallout.event_log.canal_schedule.choice_council }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.joint_success compare = equals } } localization_key = fallout.event_log.canal_schedule.joint_success }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.joint_partial compare = equals } } localization_key = fallout.event_log.canal_schedule.joint_partial }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.joint_failure compare = equals } } localization_key = fallout.event_log.canal_schedule.joint_failure }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.upstream_success compare = equals } } localization_key = fallout.event_log.canal_schedule.upstream_success }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.upstream_partial compare = equals } } localization_key = fallout.event_log.canal_schedule.upstream_partial }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.upstream_failure compare = equals } } localization_key = fallout.event_log.canal_schedule.upstream_failure }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.guard_success compare = equals } } localization_key = fallout.event_log.canal_schedule.guard_success }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.guard_partial compare = equals } } localization_key = fallout.event_log.canal_schedule.guard_partial }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.guard_failure compare = equals } } localization_key = fallout.event_log.canal_schedule.guard_failure }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.council_success compare = equals } } localization_key = fallout.event_log.canal_schedule.council_success }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.council_partial compare = equals } } localization_key = fallout.event_log.canal_schedule.council_partial }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.council_failure compare = equals } } localization_key = fallout.event_log.canal_schedule.council_failure }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.callback_success compare = equals } } localization_key = fallout.event_log.canal_schedule.callback_success }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.callback_partial compare = equals } } localization_key = fallout.event_log.canal_schedule.callback_partial }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.callback_failure compare = equals } } localization_key = fallout.event_log.canal_schedule.callback_failure }
	text = { trigger = { check_variable = { events_log_system_payload value = constant:fallout_event_628_log.cancelled compare = equals } } localization_key = fallout.event_log.canal_schedule.cancelled }
}
