# ============================================================================
# CHAOS REDUX - FALLOUT GREAT LAKES LOCK WINTER EVENT LOG LOCALISATION
# ============================================================================

defined_text = {
	name = GetFalloutEvent663EventLogDetail
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.choice_joint } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.choice_joint }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.choice_open } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.choice_open }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.choice_closure } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.choice_closure }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.choice_sabotage } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.choice_sabotage }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.joint_success } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.joint_success }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.joint_partial } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.joint_partial }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.joint_failure } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.joint_failure }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.open_success } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.open_success }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.open_partial } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.open_partial }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.open_failure } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.open_failure }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.closure_success } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.closure_success }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.closure_partial } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.closure_partial }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.closure_failure } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.closure_failure }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.sabotage_success } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.sabotage_success }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.sabotage_partial } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.sabotage_partial }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.sabotage_failure } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.sabotage_failure }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.callback_success } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.callback_success }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.callback_partial } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.callback_partial }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.callback_failure } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.callback_failure }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_663_log.cancelled } } localization_key = fallout.event_log.great_lakes_lock_winter.detail.cancelled }
	text = { trigger = { always = yes } localization_key = fallout.event_log.great_lakes_lock_winter.detail.unknown }
}
