# ============================================================================
# CHAOS REDUX - FALLOUT THE LAST TRANSFORMER EVENT LOG LOCALISATION
# ============================================================================

defined_text = {
	name = GetFalloutEventLastTransformerEventLogDetail
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.industry_success } } localisation_key = fallout.event_log.last_transformer.detail.industry_success }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.industry_partial } } localisation_key = fallout.event_log.last_transformer.detail.industry_partial }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.industry_failure } } localisation_key = fallout.event_log.last_transformer.detail.industry_failure }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.hospital_success } } localisation_key = fallout.event_log.last_transformer.detail.hospital_success }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.hospital_partial } } localisation_key = fallout.event_log.last_transformer.detail.hospital_partial }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.hospital_failure } } localisation_key = fallout.event_log.last_transformer.detail.hospital_failure }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.microgrid_success } } localisation_key = fallout.event_log.last_transformer.detail.microgrid_success }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.microgrid_partial } } localisation_key = fallout.event_log.last_transformer.detail.microgrid_partial }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.microgrid_failure } } localisation_key = fallout.event_log.last_transformer.detail.microgrid_failure }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.neighbor_success } } localisation_key = fallout.event_log.last_transformer.detail.neighbor_success }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.neighbor_partial } } localisation_key = fallout.event_log.last_transformer.detail.neighbor_partial }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.neighbor_failure } } localisation_key = fallout.event_log.last_transformer.detail.neighbor_failure }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.callback_success } } localisation_key = fallout.event_log.last_transformer.detail.callback_success }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.callback_partial } } localisation_key = fallout.event_log.last_transformer.detail.callback_partial }
	text = { trigger = { check_variable = { events_log_history_selected_payload = constant:fallout_event_243_log.callback_failure } } localisation_key = fallout.event_log.last_transformer.detail.callback_failure }
	text = { trigger = { always = yes } localisation_key = fallout.event_log.last_transformer.detail.callback_failure }
}
