family	variant	asset_stem	source_mode	source_sheet	source_crop	processed_82x52	processed_41x26	processed_10x7	live_tga_82x52	live_tga_41x26	live_tga_10x7	format_contract	prompt_ledger	status
CBA	base	CBA	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBA_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBA_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBA.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBA.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBA.png	gfx/flags/CBA.tga	gfx/flags/medium/CBA.tga	gfx/flags/small/CBA.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBA	communism	CBA_communism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBA_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBA_communism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBA_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBA_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBA_communism.png	gfx/flags/CBA_communism.tga	gfx/flags/medium/CBA_communism.tga	gfx/flags/small/CBA_communism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBA	democratic	CBA_democratic	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBA_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBA_democratic_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBA_democratic.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBA_democratic.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBA_democratic.png	gfx/flags/CBA_democratic.tga	gfx/flags/medium/CBA_democratic.tga	gfx/flags/small/CBA_democratic.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBA	fascism	CBA_fascism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBA_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBA_fascism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBA_fascism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBA_fascism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBA_fascism.png	gfx/flags/CBA_fascism.tga	gfx/flags/medium/CBA_fascism.tga	gfx/flags/small/CBA_fascism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBA	neutrality	CBA_neutrality	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBA_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBA_neutrality_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBA_neutrality.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBA_neutrality.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBA_neutrality.png	gfx/flags/CBA_neutrality.tga	gfx/flags/medium/CBA_neutrality.tga	gfx/flags/small/CBA_neutrality.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBB	base	CBB	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBB_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBB_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBB.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBB.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBB.png	gfx/flags/CBB.tga	gfx/flags/medium/CBB.tga	gfx/flags/small/CBB.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBB	communism	CBB_communism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBB_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBB_communism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBB_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBB_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBB_communism.png	gfx/flags/CBB_communism.tga	gfx/flags/medium/CBB_communism.tga	gfx/flags/small/CBB_communism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBB	democratic	CBB_democratic	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBB_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBB_democratic_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBB_democratic.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBB_democratic.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBB_democratic.png	gfx/flags/CBB_democratic.tga	gfx/flags/medium/CBB_democratic.tga	gfx/flags/small/CBB_democratic.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBB	fascism	CBB_fascism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBB_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBB_fascism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBB_fascism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBB_fascism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBB_fascism.png	gfx/flags/CBB_fascism.tga	gfx/flags/medium/CBB_fascism.tga	gfx/flags/small/CBB_fascism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBB	neutrality	CBB_neutrality	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBB_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBB_neutrality_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBB_neutrality.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBB_neutrality.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBB_neutrality.png	gfx/flags/CBB_neutrality.tga	gfx/flags/medium/CBB_neutrality.tga	gfx/flags/small/CBB_neutrality.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
