frame	source	source_sha256	processed	processed_sha256
000	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/source_frames/cannibalism_wendigo_anchor_pulse_000_source.png	1be3950f4e3d750526ffab3e6359e33fd2fc14c420ee2b06879f94e16822c5c4	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/processed_frames/cannibalism_wendigo_anchor_pulse_000.png	2175ddfa42c180e41b2ce55753009776da8165e3b3921c4573045c216dec7d0a
001	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/source_frames/cannibalism_wendigo_anchor_pulse_001_source.png	97b67306363b6dd2f69586885328a6452d08c5989fcee721b1ac0a98e85f5530	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/processed_frames/cannibalism_wendigo_anchor_pulse_001.png	6dbe52ee2c88845043edb902c0898563f2d2728d16d41fc9510cb15a325b6ff2
002	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/source_frames/cannibalism_wendigo_anchor_pulse_002_source.png	935f1c6e3b63767f35584b3d12aedd2934a586bbc764589ef2cc7dfeb2359bd6	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/processed_frames/cannibalism_wendigo_anchor_pulse_002.png	8b4533a8291f5fdb16c72c15de17444bcb395a6e2aba7976a53b0b1493918fd6
003	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/source_frames/cannibalism_wendigo_anchor_pulse_003_source.png	ffb4b76bf146a1fda336d68ba7f1922a3fca34f9947345ea6c7040eae8555052	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/processed_frames/cannibalism_wendigo_anchor_pulse_003.png	97fc2c1213fd1c09febd874bfae0f370f8005dab1f37e5f325d050534edc6537
004	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/source_frames/cannibalism_wendigo_anchor_pulse_004_source.png	813a16e77db94eca4597f8aa333ac0f3a58269f526b0ef807f1be9801e93b86f	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/processed_frames/cannibalism_wendigo_anchor_pulse_004.png	56b106fc4a491408ee292d7174ee025d295bf459d006d0680fb5065294a74d45
005	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/source_frames/cannibalism_wendigo_anchor_pulse_005_source.png	ba65ca6b2e2694de838825a1d62b468899c2cdcb9ed117541020130727208c92	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/processed_frames/cannibalism_wendigo_anchor_pulse_005.png	d8145cd0132da1e1526add7ad4d0ad77f372afb9e3678fb634e36f464cf374b4
006	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/source_frames/cannibalism_wendigo_anchor_pulse_006_source.png	56e972ed7f66e97595456445f54b0f0e0e7544189b570a2ba8bc28ec5edb2c7f	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/processed_frames/cannibalism_wendigo_anchor_pulse_006.png	9a7c3dc3aeb1d1a839659d221ec9cddb7b144ef2ab186cd2c54d70d74c954a04
007	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/source_frames/cannibalism_wendigo_anchor_pulse_007_source.png	6d34e515a9b69a0909cb974b21bda50ac5a0539387a73c1f1b01451d3a241395	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/processed_frames/cannibalism_wendigo_anchor_pulse_007.png	cfa0d238b36a8479c9f375c09ab9e716420ede1c5f413cb87e43c1bd6a74fecd
008	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/source_frames/cannibalism_wendigo_anchor_pulse_008_source.png	e713bea31bf3c27ee23f6aa5e61fc81e55b36a179c5791763929be98d736c5da	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/processed_frames/cannibalism_wendigo_anchor_pulse_008.png	0e6ab9a7dd3185ece14cff915f10f689131dcef655f50e2f11b8d146fee50bcf
009	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/source_frames/cannibalism_wendigo_anchor_pulse_009_source.png	b264138cdb9dba81f2bc7385db8d16163520f1de66a9e4300a32eeb811936d91	C:/Users/klimp/OneDrive/Documents/Paradox Interactive/Hearts of Iron IV/mod/chaos_redux/docs/assets/014_cannibalism/gui_animation_portraits/animations/cannibalism_wendigo_anchor_pulse/processed_frames/cannibalism_wendigo_anchor_pulse_009.png	174f23bf8364b01b214221ac0d9dc7b6c92888ba31e59300afd059e1c1cc99bd
