runtime_texture	ownership	dimensions	normalized_rgba_sha256	file_sha256	decode_status
cannibalism_achievement_tracker_category_panel.dds	existing_other	114x101	c4b5bee192c9b45d6a75e4b0472ab4d042f6181707e78a09326ed5be5bc41ec7	b9598ded6f24b69f79cf023f401f10af88c36a76d8f58b3ecfccfd8a7c72e61c	decoded
cannibalism_containment_category_panel.dds	existing_other	114x101	2bba80218fdf26cd090aaa8f440e05eb9447e7bdd3a37d3444cd736b9dbe3c71	d9e67f5d1dcd673b4b36b738f4311f6fc21f2c9c2a05c1c1fe1c45ae95709361	decoded
cannibalism_international_response_category_panel.dds	existing_other	114x101	1ebb0e0c6d62d09bbc83a6e49f8099fc0ce49f64c216b40effd10f18d80404d9	4f4b2769168193670dc5e2e968d0e6b48d035c309ce2de4c0ab610de52ffa849	decoded
cannibalism_network_alerts_category_panel.dds	existing_other	114x101	1a8a7896f1cd8f7632227be09141179ca4853a66f30d86782ea6f7073c523efd	c6ae4fdeccf56424a08f6b473d6e052c203a8d94c8dadc80350e6c471821db7f	decoded
cannibalism_reconstruction_category_panel.dds	existing_other	114x101	0bb57d41bca43a68c53dbbb22eb81d8370a45e9e23345b5d4144e7f1f452b81c	d0b820c748fa0894fb4ce69d284174b20907656d775425f310b515a639fdad64	decoded
cannibalism_unified_command_category_panel.dds	existing_other	114x101	2addd4717ada9b6ea014950ee5a42f582d765c1ea28f9e87973accaff2ac4911	85bfb1b3fd6ec68e61574e497d38e20bc6538606bb0114ef8f6d2523b92fb377	decoded
cannibalism_unified_global_campaign_category_panel.dds	existing_other	114x101	a23935f0488167e849c4d3404352ff0bfdad241338fcdebbb7816a8d30c4d608	a3a91da7c7619c1cb101dacfe6f38cc0d1c076779c9d51849657484db3400dd2	decoded
cannibalism_unified_larder_category_panel.dds	existing_other	114x101	340b03b1236563c9c785440160a38d59d9a55f7d8335b781ed0a512b41af61fe	af73f9ba27929c460b88298603ea9670c6a729d9a56cdd20e60bd1129eb61c6f	decoded
cannibalism_unified_war_machine_category_panel.dds	existing_other	114x101	d885b2d87e9f59f0de6c459323de6de0283e85fba835da7f00eaf8fe568629bb	ef7bbf6e103b22247b4c9be4ee096d411c8759baa3ef67e9857bb0ba9f30dd5c	decoded
cannibalism_unified_world_end_category_panel.dds	existing_other	114x101	c716b6b866b40bd41e5c4b77c7b3e8aba41b33c519fcc5a8f79ef9e04f740e13	a29c65ff89b30882bb76d647c7f12a7bc6f03caea55d49a1b0e1b5f3c4714b37	decoded
cannibalism_warlord_command_category_panel.dds	existing_other	114x101	a3c0df095e31e9b09a70dacfe56f9f9d05c22cd3487270359c4c6949ca66c530	1bd7269c1dbbb210cb63a698e2806bda5c19b8be25e6f1c6e6714b41a95a7d38	decoded
cannibalism_wendigo_command_category_panel.dds	existing_other	114x101	190675b5f5c4010a177491ce1648a5e14d425b458b4f7bd96e0cdf693ec2e4b8	109e30c6f2ecbdc223f71b94035ec049a98e982f70588b9953609ca67a9c9707	decoded
cannibalism_wendigo_counterwar_category_panel.dds	existing_other	114x101	db8e9195ced4c453c43d3c62bb850f4ac8acc0bac89afc946f3c9fe2b3b41476	c5bfbb795f30536ac2db8dd56496f79b75fe6ccd2d98d752dc4e2fd05954588b	decoded
decision_cannibalism_abandon_exhausted_state.dds	existing_other	32x32	df73cff819c7e412658e8346d6349b0c95e869a257be5b7b14dd8af913408726	2bf1782969d5d217fa8d02e62b9af8805e110b90c5f123711248ebff6df3bbed	decoded
decision_cannibalism_accelerate_transformation_countdown.dds	existing_other	32x32	93b2f77fcaa187131236c9ead23c714aa94550e2869fe62a5e225fe8279d990f	7b25d2d17c8f187e639ea08ccce2cdb4800869bb7de60538301821740c6152c6	decoded
decision_cannibalism_activate_inherited_winter_cell.dds	existing_other	32x32	af900d76e5462d6d56c9840d91dc5d64917797363892532d6b0e95ea3b26450f	9362c2ac0b85ddc67c91519ae57369d2b21fd7cc4e53901bbc1819deef8e1fa9	decoded
decision_cannibalism_align_local_ranks.dds	existing_other	32x32	5ece2a6da7b9685459e29858536129b4ea0a4260b190c85e8901cf581dba67f1	d4141363015a8068a2d10bdc372fdc3d7243d771bf34bc28fc3d718eb9c2bce1	decoded
decision_cannibalism_assault_transformation_anchor.dds	existing_other	32x32	9294e81b017e5cde795d9c9ba763218fa211df1edf0d884f7529d71ef71043de	10050440e5a861d7d3a1f9d828dfc4c88ffdc7fb68074367a81a442eb2fa0ee8	decoded
decision_cannibalism_blockade_island_host.dds	existing_other	32x32	a8d10c92245b4eb56a93897b8cb110bb9bcc74b7f4aec98330be3018e623121f	1da82f08f74709f6047715775669a7b840dee334f62348b24b1e90469d73ba73	decoded
decision_cannibalism_break_network_mission.dds	existing_other	32x32	af4b9cc874d1d4226312e92c43e954960a1fd175fd7a97c426ba84e5ef1d7db0	78743a61864cf357deb25e43c388c41dee047023cf18f83f699d1e60b1a74c6f	decoded
decision_cannibalism_break_ritual_economy.dds	existing_other	32x32	1edb33c1be4ffcc98e7ce4803f2611e4f504951b0c0c586a114de2596e8d8075	0751d3021c1979c975a7655b676460c189619017d57de2777ad1de2b82991e27	decoded
decision_cannibalism_break_wendigo_recruitment_site.dds	existing_other	32x32	a23765a94ffb6160662776a75c27a47534d49ecc3e81790ed4ad28111ab5c10b	2cef0dc4d3650cd2a41ac5517620dbfaf0a2f463d8f6dd6f50913232aae642bd	decoded
decision_cannibalism_break_wendigo_terminal_hunt.dds	existing_other	32x32	9641992aa49e62df0b31028707349d4ca1a322d270018a7d9b86c04af27aa298	e153f3913b30b774852f00fc6ae0b6a46efe2ff757ac689b5872b0c5ada5994e	decoded
decision_cannibalism_complete_memorial_site.dds	existing_other	32x32	3d37de394be132c446d27ed2b5feee4e73e6863bf39dc42bc83f53ca34606425	11fb10a21a089ee8987e5b4a1bb0f02b0c0a2c30d390907b9abf83398cc9a128	decoded
decision_cannibalism_conditional_amnesty.dds	existing_other	32x32	7bb6f98d6349432d826b65625725123b3022bfc98719eecbad7eabd70b3cbfd2	88421a6cf114bd7cfd6ef61cfab2e13659cb125dd043ddbbb20089135455acb3	decoded
decision_cannibalism_consume_controlled_state.dds	existing_other	32x32	6dde2b32a47699f1af4be3c5f8e7a2444b4c9ce83c58692f9bf88ebf233da730	7aae63703b2c09627f14b6899c3782e4393b60c934d9297143fb10c2dc39d23e	decoded
decision_cannibalism_consume_transformation_anchor_population.dds	existing_other	32x32	8e07be8a67fcb9b014707db3365b1f40562f839a149e62c40801d85c9c48c124	70aa839a71db3f95b81596fdb9d1a01a97ddd5476ec9920e210f82ba471dd6bd	decoded
decision_cannibalism_designate_transformation_anchor.dds	existing_other	32x32	16aab2bed9a014dce169595e54dd250807f0b5a38e344c52bb44be932a769457	c62e2f6d8fcabf6764f44eb3219280914da566c5af973d894f0c245dfde8a285	decoded
decision_cannibalism_disrupt_transformation_logistics.dds	existing_other	32x32	450e196f68c0b78e9941db23180e6e8343a0e17820953eb8785cb9f9d18a9cf5	f80c8e0f5e15e56609843485164441dabd3a6ebab11f2b1dd5f74cbfc3131aa8	decoded
decision_cannibalism_emergency_reinforcement.dds	existing_other	32x32	5d46747ca72470d2bf57303b53573f8bc91a2b6891693bec5ac8be112e02ba1b	a7e49ef874ca3e4f9cf4ed4aea041f0ab40140a642bd8cdd88aa98bcb557e3bd	decoded
decision_cannibalism_end_terror_exploitation.dds	existing_other	32x32	44a99b35ba0a409805f8c8c6fbd3187559296ee1b69bb2f92b917000afa3aacf	f3e567982104d0e56fc3323519a268adc8df0b09852e8dc0af517fa02450a21c	decoded
decision_cannibalism_feed_selected_prisoners.dds	existing_other	32x32	5bef75c0a5f4643536db6b31b08e5519403aafa9ba988c91a06eff84a8e3f2b4	bd71d80c29a8acc4d7d5e29f442071ee136ab63e64f7430eae99e2c3f7775624	decoded
decision_cannibalism_forensic_recovery.dds	existing_other	32x32	77fb39fea2363eb9563f8d985f21579368d83fb0a8f583705ebbe0a6c2e94162	3e3ff1eca5c859dbf1f4dff4b81c3cba71fa3bd6eb2c663dfa982612f60b1c7b	decoded
