region,slot,source,original_width,original_height,crop_left,crop_top,crop_right,crop_bottom,processed,processed_width,processed_height,mode
europe,CBA,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBA_warlord_source.png,1081,1455,0,0,1081,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBA_warlord.png,156,210,RGBA
europe,CBB,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBB_warlord_source.png,1084,1451,3,0,1081,1451,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBB_warlord.png,156,210,RGBA
europe,CBC,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBC_warlord_source.png,1080,1456,0,1,1080,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBC_warlord.png,156,210,RGBA
europe,CBD,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBD_warlord_source.png,1080,1456,0,1,1080,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBD_warlord.png,156,210,RGBA
europe,CBE,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBE_warlord_source.png,1080,1456,0,1,1080,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBE_warlord.png,156,210,RGBA
europe,CBF,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBF_warlord_source.png,1081,1455,0,0,1081,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBF_warlord.png,156,210,RGBA
europe,CBG,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBG_warlord_source.png,1080,1456,0,1,1080,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBG_warlord.png,156,210,RGBA
europe,CBH,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBH_warlord_source.png,1080,1456,0,1,1080,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBH_warlord.png,156,210,RGBA
asia,CBA,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBA_warlord_asia_source.png,1081,1455,0,0,1081,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBA_warlord_asia.png,156,210,RGBA
asia,CBB,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBB_warlord_asia_source.png,1080,1456,0,1,1080,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBB_warlord_asia.png,156,210,RGBA
asia,CBC,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBC_warlord_asia_source.png,1080,1456,0,1,1080,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBC_warlord_asia.png,156,210,RGBA
asia,CBD,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBD_warlord_asia_source.png,1080,1456,0,1,1080,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBD_warlord_asia.png,156,210,RGBA
asia,CBE,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBE_warlord_asia_source.png,1082,1454,1,0,1081,1454,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBE_warlord_asia.png,156,210,RGBA
asia,CBF,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBF_warlord_asia_source.png,1080,1456,0,1,1080,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBF_warlord_asia.png,156,210,RGBA
asia,CBG,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBG_warlord_asia_source.png,1080,1456,0,1,1080,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBG_warlord_asia.png,156,210,RGBA
asia,CBH,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBH_warlord_asia_source.png,1084,1451,3,0,1081,1451,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBH_warlord_asia.png,156,210,RGBA
africa,CBA,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBA_warlord_africa_source.png,1080,1456,0,1,1080,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBA_warlord_africa.png,156,210,RGBA
africa,CBB,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBB_warlord_africa_source.png,1082,1453,1,0,1080,1453,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBB_warlord_africa.png,156,210,RGBA
africa,CBC,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBC_warlord_africa_source.png,1082,1454,1,0,1081,1454,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBC_warlord_africa.png,156,210,RGBA
africa,CBD,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBD_warlord_africa_source.png,1081,1455,0,0,1081,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBD_warlord_africa.png,156,210,RGBA
africa,CBE,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBE_warlord_africa_source.png,1081,1455,0,0,1081,1455,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBE_warlord_africa.png,156,210,RGBA
africa,CBF,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBF_warlord_africa_source.png,1083,1453,2,0,1081,1453,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBF_warlord_africa.png,156,210,RGBA
africa,CBG,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBG_warlord_africa_source.png,1083,1452,2,0,1081,1452,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBG_warlord_africa.png,156,210,RGBA
africa,CBH,docs/assets/014_cannibalism/warlord_portraits_imagegen/source_png/leader_CBH_warlord_africa_source.png,1086,1448,5,0,1081,1448,docs/assets/014_cannibalism/warlord_portraits_imagegen/processed_png/leader_CBH_warlord_africa.png,156,210,RGBA
