entry_type,category_id,script_id,sprite_name,icon_value,asset_file,source_family
category,utopia_manifesto_ledger_category,utopia_manifesto_ledger_category,GFX_decision_category_utopia_ledger,GFX_decision_category_utopia_ledger,gfx/interface/decisions/015_utopia_manifesto/decision_category_utopia_ledger.dds,existing_event_015_final_family
category,utopia_manifesto_district_category,utopia_manifesto_district_category,GFX_decision_category_utopia_district,GFX_decision_category_utopia_district,gfx/interface/decisions/015_utopia_manifesto/decision_category_utopia_district.dds,imagegen_final_atlas_2026-07-14
category,utopia_manifesto_island_category,utopia_manifesto_island_category,GFX_decision_category_utopia_island,GFX_decision_category_utopia_island,gfx/interface/decisions/015_utopia_manifesto/decision_category_utopia_island.dds,imagegen_final_atlas_2026-07-14
category,utopia_manifesto_necessary_ground_category,utopia_manifesto_necessary_ground_category,GFX_decision_category_utopia_necessary_ground,GFX_decision_category_utopia_necessary_ground,gfx/interface/decisions/015_utopia_manifesto/decision_category_utopia_necessary_ground.dds,imagegen_final_atlas_2026-07-14
category,utopia_manifesto_stewardship_category,utopia_manifesto_stewardship_category,GFX_decision_category_utopia_stewardship,GFX_decision_category_utopia_stewardship,gfx/interface/decisions/015_utopia_manifesto/decision_category_utopia_stewardship.dds,imagegen_final_atlas_2026-07-14
category,utopia_manifesto_league_category,utopia_manifesto_league_category,GFX_decision_category_utopia_league,GFX_decision_category_utopia_league,gfx/interface/decisions/015_utopia_manifesto/decision_category_utopia_league.dds,existing_event_015_final_family
category,utopia_manifesto_defense_category,utopia_manifesto_defense_category,GFX_decision_category_utopia_defense,GFX_decision_category_utopia_defense,gfx/interface/decisions/015_utopia_manifesto/decision_category_utopia_defense.dds,imagegen_final_atlas_2026-07-14
category,utopia_manifesto_governance_category,utopia_manifesto_governance_category,GFX_decision_category_utopia_governance,GFX_decision_category_utopia_governance,gfx/interface/decisions/015_utopia_manifesto/decision_category_utopia_governance.dds,imagegen_final_atlas_2026-07-14
category,utopia_manifesto_formation_category,utopia_manifesto_formation_category,GFX_decision_category_utopia_formation,GFX_decision_category_utopia_formation,gfx/interface/decisions/015_utopia_manifesto/decision_category_utopia_formation.dds,imagegen_final_atlas_2026-07-14
decision,utopia_manifesto_ledger_category,decision_utopia_count_houses_and_hands,GFX_decision_utopia_household_census,GFX_decision_utopia_household_census,gfx/interface/decisions/015_utopia_manifesto/decision_utopia_household_census.dds,existing_event_015_final_family
mission,utopia_manifesto_ledger_category,mission_utopia_count_houses_and_hands,GFX_decision_utopia_household_census,GFX_decision_utopia_household_census,gfx/interface/decisions/015_utopia_manifesto/decision_utopia_household_census.dds,existing_event_015_final_family
decision,utopia_manifesto_ledger_category,decision_utopia_recount_the_country,GFX_decision_utopia_household_census,GFX_decision_utopia_household_census,gfx/interface/decisions/015_utopia_manifesto/decision_utopia_household_census.dds,existing_event_015_final_family
decision,utopia_manifesto_ledger_category,decision_utopia_publish_the_accounts,GFX_decision_utopia_publish_accounts,GFX_decision_utopia_publish_accounts,gfx/interface/decisions/015_utopia_manifesto/decision_utopia_publish_accounts.dds,imagegen_final_atlas_2026-07-14
decision,utopia_manifesto_ledger_category,decision_utopia_establish_capital_store,GFX_decision_utopia_common_storehouse,GFX_decision_utopia_common_storehouse,gfx/interface/decisions/015_utopia_manifesto/decision_utopia_common_storehouse.dds,existing_event_015_final_family
mission,utopia_manifesto_ledger_category,mission_utopia_establish_capital_store,GFX_decision_utopia_common_storehouse,GFX_decision_utopia_common_storehouse,gfx/interface/decisions/015_utopia_manifesto/decision_utopia_common_storehouse.dds,existing_event_015_final_family
decision,utopia_manifesto_ledger_category,decision_utopia_fill_seasonal_reserve,GFX_decision_utopia_seasonal_reserve,GFX_decision_utopia_seasonal_reserve,gfx/interface/decisions/015_utopia_manifesto/decision_utopia_seasonal_reserve.dds,imagegen_final_atlas_2026-07-14
