decision_id_or_role	sprite_name	sprite_identifier
found_scientific_commission	found_scientific_commission	GFX_decision_brilliant_scientist_aftermath_found_scientific_commission
exchange_countermeasures	exchange_countermeasures	GFX_decision_brilliant_scientist_aftermath_exchange_countermeasures
codify_personhood_and_asylum	codify_personhood_and_asylum	GFX_decision_brilliant_scientist_aftermath_codify_personhood_and_asylum
ban_singularity_components	ban_singularity_components	GFX_decision_brilliant_scientist_aftermath_ban_singularity_components
ratify_scientific_compact	ratify_scientific_compact	GFX_decision_brilliant_scientist_aftermath_ratify_scientific_compact
register_recovered_facility	register_recovered_facility	GFX_decision_brilliant_scientist_aftermath_register_recovered_facility
inventory_project_templates	inventory_project_templates	GFX_decision_brilliant_scientist_aftermath_inventory_project_templates
secure_command_archives	secure_command_archives	GFX_decision_brilliant_scientist_aftermath_secure_command_archives
certify_global_dismantlement	certify_global_dismantlement	GFX_decision_brilliant_scientist_aftermath_certify_global_dismantlement
rebuild_laboratory_state	rebuild_laboratory_state	GFX_decision_brilliant_scientist_aftermath_rebuild_laboratory_state
open_survivor_clinics	open_survivor_clinics	GFX_decision_brilliant_scientist_aftermath_open_survivor_clinics
build_memorial_archive	build_memorial_archive	GFX_decision_brilliant_scientist_aftermath_build_memorial_archive
close_reconstruction_board	close_reconstruction_board	GFX_decision_brilliant_scientist_aftermath_close_reconstruction_board
hear_clone_communities	hear_clone_communities	GFX_decision_brilliant_scientist_aftermath_hear_clone_communities
audit_machine_nodes	audit_machine_nodes	GFX_decision_brilliant_scientist_aftermath_audit_machine_nodes
secure_paleogenetic_reserves	secure_paleogenetic_reserves	GFX_decision_brilliant_scientist_aftermath_secure_paleogenetic_reserves
receive_xenobiological_handlers	receive_xenobiological_handlers	GFX_decision_brilliant_scientist_aftermath_receive_xenobiological_handlers
map_portal_terminals	map_portal_terminals	GFX_decision_brilliant_scientist_aftermath_map_portal_terminals
reconcile_temporal_records	reconcile_temporal_records	GFX_decision_brilliant_scientist_aftermath_reconcile_temporal_records
open_biological_archive	open_biological_archive	GFX_decision_brilliant_scientist_aftermath_open_biological_archive
catalogue_alien_cache	catalogue_alien_cache	GFX_decision_brilliant_scientist_aftermath_catalogue_alien_cache
dispose_singularity_core	dispose_singularity_core	GFX_decision_brilliant_scientist_aftermath_dispose_singularity_core
