category_id	sprite_name	sprite_identifier
brilliant_scientist_krg_foundation_category	foundation_administration	GFX_decision_category_brilliant_scientist_krg_foundation_administration
brilliant_scientist_krg_security_and_logistics_category	security_logistics	GFX_decision_category_brilliant_scientist_krg_security_logistics
brilliant_scientist_krg_clone_and_machine_category	clone_machine	GFX_decision_category_brilliant_scientist_krg_clone_machine
brilliant_scientist_krg_paleogenetics_category	paleogenetics	GFX_decision_category_brilliant_scientist_krg_paleogenetics
brilliant_scientist_krg_xenobiology_category	xenobiology	GFX_decision_category_brilliant_scientist_krg_xenobiology
brilliant_scientist_krg_portal_and_temporal_category	portal_temporal	GFX_decision_category_brilliant_scientist_krg_portal_temporal
brilliant_scientist_krg_exotic_and_biological_category	exotic_biological	GFX_decision_category_brilliant_scientist_krg_exotic_biological
brilliant_scientist_krg_foreign_policy_category	foreign_policy	GFX_decision_category_brilliant_scientist_krg_foreign_policy
brilliant_scientist_krg_integration_category	integration	GFX_decision_category_brilliant_scientist_krg_integration
brilliant_scientist_krg_terminal_program_category	terminal_program	GFX_decision_category_brilliant_scientist_krg_terminal_program
