asset_id,asset_type,source_png,processed_png,final_dds,dimensions,alpha,dds_format,sprite_name,target_gfx,status
fm_cat_displacement,decision_category_icon,source/category/fm_cat_displacement.png,processed/category/fm_cat_displacement.png,gfx/interface/decisions/famine_and_migration_system/fm_cat_displacement.dds,52x40,native alpha,BGRA8 uncompressed mip1,GFX_fm_cat_displacement,interface/chaosx_decisions.gfx,complete
fm_state_supply_strain,state_modifier_icon,source/state_modifiers/fm_state_supply_strain.png,processed/state_modifiers/fm_state_supply_strain.png,gfx/interface/state_modifiers/famine_and_migration_system/fm_state_supply_strain.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_state_supply_strain,interface/countrystateview.gfx,complete
fm_state_acute_shortage,state_modifier_icon,source/state_modifiers/fm_state_acute_shortage.png,processed/state_modifiers/fm_state_acute_shortage.png,gfx/interface/state_modifiers/famine_and_migration_system/fm_state_acute_shortage.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_state_acute_shortage,interface/countrystateview.gfx,complete
fm_state_famine,state_modifier_icon,source/state_modifiers/fm_state_famine.png,processed/state_modifiers/fm_state_famine.png,gfx/interface/state_modifiers/famine_and_migration_system/fm_state_famine.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_state_famine,interface/countrystateview.gfx,complete
fm_state_catastrophic_famine,state_modifier_icon,source/state_modifiers/fm_state_catastrophic_famine.png,processed/state_modifiers/fm_state_catastrophic_famine.png,gfx/interface/state_modifiers/famine_and_migration_system/fm_state_catastrophic_famine.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_state_catastrophic_famine,interface/countrystateview.gfx,complete
fm_state_exodus,state_modifier_icon,source/state_modifiers/fm_state_exodus.png,processed/state_modifiers/fm_state_exodus.png,gfx/interface/state_modifiers/famine_and_migration_system/fm_state_exodus.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_state_exodus,interface/countrystateview.gfx,complete
fm_state_reception,state_modifier_icon,source/state_modifiers/fm_state_reception.png,processed/state_modifiers/fm_state_reception.png,gfx/interface/state_modifiers/famine_and_migration_system/fm_state_reception.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_state_reception,interface/countrystateview.gfx,complete
fm_state_overcrowded,state_modifier_icon,source/state_modifiers/fm_state_overcrowded.png,processed/state_modifiers/fm_state_overcrowded.png,gfx/interface/state_modifiers/famine_and_migration_system/fm_state_overcrowded.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_state_overcrowded,interface/countrystateview.gfx,complete
fm_state_trapped_border,state_modifier_icon,source/state_modifiers/fm_state_trapped_border.png,processed/state_modifiers/fm_state_trapped_border.png,gfx/interface/state_modifiers/famine_and_migration_system/fm_state_trapped_border.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_state_trapped_border,interface/countrystateview.gfx,complete
fm_state_return,state_modifier_icon,source/state_modifiers/fm_state_return.png,processed/state_modifiers/fm_state_return.png,gfx/interface/state_modifiers/famine_and_migration_system/fm_state_return.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_state_return,interface/countrystateview.gfx,complete
fm_dec_release_reserves,decision_icon,source/decisions/fm_dec_release_reserves.png,processed/decisions/fm_dec_release_reserves.png,gfx/interface/decisions/famine_and_migration_system/fm_dec_release_reserves.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_dec_release_reserves,interface/chaosx_decisions.gfx,complete
fm_dec_relief_convoy,decision_icon,source/decisions/fm_dec_relief_convoy.png,processed/decisions/fm_dec_relief_convoy.png,gfx/interface/decisions/famine_and_migration_system/fm_dec_relief_convoy.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_dec_relief_convoy,interface/chaosx_decisions.gfx,complete
fm_dec_airlift,decision_icon,source/decisions/fm_dec_airlift.png,processed/decisions/fm_dec_airlift.png,gfx/interface/decisions/famine_and_migration_system/fm_dec_airlift.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_dec_airlift,interface/chaosx_decisions.gfx,complete
fm_dec_evacuate,decision_icon,source/decisions/fm_dec_evacuate.png,processed/decisions/fm_dec_evacuate.png,gfx/interface/decisions/famine_and_migration_system/fm_dec_evacuate.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_dec_evacuate,interface/chaosx_decisions.gfx,complete
