"package_id","working_name","resolved_tag","automatic_pool_disposition","readiness_verdict","anchor_binding_mode","anchor_state_ids","anchor_state_names","compact_state_ids","compact_state_names","extended_state_ids","extended_state_names","reservation_group","baseline_state_ids","baseline_state_names","rebind_status","initial_owner_by_state","initial_owner_capitals","host_survival_implication","binding_reason","source_evidence","installed_state_history_files","missing_current_state_ids"
"IW-001","Scotland","SCO","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","121","Lothian","121|133","Lothian|Lanark","120|136|933","Scottish Highlands|Aberdeenshire|Shetland Islands","RG-121-120-133","121|120|133","Lothian | Scottish Highlands | Lanark","expanded_with_current_splits","120=ENG|121=ENG|133=ENG|136=ENG|933=ENG","ENG=126","ENG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Edinburgh remains the anchor; current Scottish splits place Lanark in compact territory and the Highlands, Ayrshire, and Shetland in extension.","Edinburgh VP 9392 is in state 121; SCO installed cores confirm the Scottish split. Installed state history and STATE_n localisation were also checked.","120-Scottish Highlands.txt|121-Scottish Lowlands.txt|133-Strathclyde.txt|136-Aberdeenshire.txt|933-Shetland.txt",""
"IW-002","Wales","WLS","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","122","Wales","122","Wales","","","RG-122","122","Wales","unchanged_current_ids","122=ENG","ENG=126","ENG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","122-Wales.txt",""
"IW-003","Cornwall","ACX","automatic_pool_ready","disabled_no_unique_current_state","unbound","","","","","","","RG-123","123","Cornwall","baseline_rejected","","","Not selectable: the exact split has no compatible legal state ID.","Province 6526 is the audited Truro-only Cornwall anchor; province 11406 and Plymouth remain in state 123. Legal next ID 1082 collides in eleven installed Workshop mods, every ID through 2525 is claimed, and first unused ID 2526 would create an invalid gap.","Vanilla state history, geometry, buildings, supply, railway, strategic-region, and installed-mod state-ID scans are recorded in the 2026-07-16 IW-003 feasibility audit; no generic substitute assigned.","123-Cornwall.txt",""
"IW-004","Brittany","BRI","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","14","Brittany","14","Brittany","","","RG-14","14","Brittany","unchanged_current_ids","14=FRA","FRA=16","FRA retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","14-Brittany.txt",""
"IW-005","Flanders","","vanilla_route_overlay_only","overlay_nonselectable","overlay_carrier_route","6","Flanders","6|977","Flanders|Antwerp","","","RG-6","6","Vlaanderen","expanded_with_current_splits","6=BEL|977=BEL","BEL=6","BEL anchor contains protected capital state 6: skip/reject while protection applies; BEL retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Brussels remains in the Flanders anchor and Antwerp is a current split.","Brussels VP 516 is in state 6; Antwerp is current split state 977. Installed state history and STATE_n localisation were also checked.","6-Belgium.txt|977 - Antwerp.txt",""
"IW-006","Wallonia","AFX","automatic_pool_ready","ready_automatic","fixed_anchor_compact","34","Wallonia","34","Wallonia","","","RG-34","34","Wallonie","unchanged_current_ids","34=BEL","BEL=6","BEL retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","34-Wallonie.txt",""
"IW-007","Frisia","AGX","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","36","Friesland","36","Friesland","","","RG-36","36","Friesland","unchanged_current_ids","36=HOL","HOL=7","HOL retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","36-Friesland.txt",""
"IW-008","Rhineland","RHI","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","51","Rhineland","51","Rhineland","42","Moselland","RG-RHINE-SAAR","51","Rhineland","expanded_with_current_splits","42=GER|51=GER","GER=64","GER retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Rhineland is the core anchor; Moselland remains an optional extension subject to the Saar reservation.","RHI installed cores are states 51 and 42. Installed state history and STATE_n localisation were also checked.","42-Rhineland.txt|51-Moselland.txt",""
"IW-009","Bavaria","BAY","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","52","Oberbayern","52|53|54","Oberbayern|Niederbayern|Franken","","","RG-52-53-54","52|53|54","Oberbayern | Niederbayern | Franken","unchanged_current_ids","52=GER|53=GER|54=GER","GER=64","GER retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The three installed Bavarian states remain the compact package.","Installed state history and STATE_n localisation checked.","52-Wuttemberg.txt|53-Oberbayern.txt|54-Bayreuth.txt",""
"IW-010","Saar","AJX","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","42","Moselland","42","Moselland","","","RG-RHINE-SAAR","42","Moselland, used only as a Saar compact if a unique host remnant remains","unchanged_current_ids","42=GER","GER=64","GER retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","42-Rhineland.txt",""
"IW-011","Faroe Islands","AKX","scenario_variant_only","scenario_only_bound","fixed_anchor_compact","337","Faroe Islands","337","Faroe Islands","","","RG-FAROE-ISLANDS","","No unique Faroe state in the public 763-state baseline","new_current_state_binding","337=DEN","DEN=37","DEN retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map has a unique Faroe Islands state, but the accepted disposition remains scenario-only.","Current state 337 is Faroe Islands. Installed state history and STATE_n localisation were also checked.","337-Faroe Islands.txt",""
"IW-012","Icelandic emergency republic","ICE","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","100","Iceland","100","Iceland","","","RG-100","100","Iceland","unchanged_current_ids","100=ICE","ICE=100","ICE anchor contains protected capital state 100: skip/reject while protection applies; ICE anchor would erase the 1936 host: reject. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","100-Iceland.txt",""
"IW-013","Basque Country","NAV","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","792","País Vasco","792","País Vasco","172|806","Navarra|Pyrénées-Atlantiques","RG-172","172","Navarre, used as the compact Basque anchor in the baseline","expanded_with_current_splits","172=SPR|792=SPR|806=FRA","FRA=16|SPR=41","SPR retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The current Basque anchor is País Vasco; Navarra and Pyrénées-Atlantiques are optional extensions.","NAV installed cores are states 792, 172, and 806. Installed state history and STATE_n localisation were also checked.","172-Navarre.txt|792-Basque Country.txt|806-French Basque Country.txt",""
"IW-014","Catalonia","CAT","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","165","Catalonia","165","Catalonia","","","RG-165","165","Catalonia","unchanged_current_ids","165=SPR","SPR=41","SPR retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","165-Catalonia.txt",""
"IW-015","Galicia","GLC","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","171","Galicia","171","Galicia","","","RG-171","171","Galicia","unchanged_current_ids","171=SPR","SPR=41","SPR retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","171-Galicia.txt",""
"IW-016","Occitania","OCC","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","22","Languedoc","22","Languedoc","","","RG-22","22","Languedoc, used as the compact Occitan anchor","unchanged_current_ids","22=FRA","FRA=16","FRA retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","22-Roussillion.txt",""
"IW-017","Corsica","COR","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","1","Corsica","1","Corsica","","","RG-1","1","Corsica","unchanged_current_ids","1=FRA","FRA=16","FRA retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","1-France.txt",""
"IW-018","Sardinia","ARX","automatic_pool_ready","ready_automatic","fixed_anchor_compact","114","Sardinia","114","Sardinia","","","RG-114","114","Sardinia","unchanged_current_ids","114=ITA","ITA=2","ITA retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","114-Sardinia.txt",""
"IW-019","Sicily","ASX","automatic_pool_ready","ready_automatic","fixed_anchor_compact","115","Sicily","115","Sicily","","","RG-115","115","Sicily","unchanged_current_ids","115=ITA","ITA=2","ITA retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","115-Sicily.txt",""
"IW-020","Venice","ATX","high_chaos_only","ready_high_chaos","fixed_anchor_compact","160","Veneto","160","Veneto","","","RG-160","160","Veneto","unchanged_current_ids","160=ITA","ITA=2","ITA retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","160-Veneto.txt",""
"IW-021","Trieste Free State","ICX","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","736","Litorale","736","Litorale","","","RG-ADRIATIC-TRIESTE-DALMATIA","736","Istria, with Trieste as the required capital location","unchanged_current_ids","736=ITA","ITA=2","ITA retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Trieste is located in current state 736 Litorale; state 852 Istria does not contain Trieste.","Trieste VP 6626 is in state 736. Installed state history and STATE_n localisation were also checked.","736-Litorale.txt",""
"IW-022","Dalmatia","","vanilla_route_overlay_only","overlay_nonselectable","overlay_carrier_route","103","Dalmatia","103|163","Dalmatia|Zadar","","","RG-ADRIATIC-TRIESTE-DALMATIA","103|163","Dalmatia | Zara","unchanged_current_ids","103=YUG|163=ITA","ITA=2|YUG=107","ITA retains at least one 1936 state after the compact set; YUG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Dalmatia and Zadar remain the compact coastal package.","Installed state history and STATE_n localisation checked.","103-Croatia.txt|163-Dalmatia.txt",""
