"state_id","state_name","package_ids","package_names","usage_levels","reservation_groups","automatic_claimant_ids","collision_kind","required_resolution"
"42","Moselland","IW-008|IW-010","Rhineland|Saar","IW-008=extended|IW-010=anchor+compact","RG-RHINE-SAAR","IW-008|IW-010","within_reservation_group","Enforce RG-RHINE-SAAR at maximum one automatic package per wave; trim extended claims before compact or anchor claims."
"249","Kazan","IW-043|IW-044","Volga Bulgaria|Tatarstan","IW-043=anchor+compact|IW-044=anchor+compact","RG-MIDDLE-VOLGA-KAZAN","IW-043|IW-044","within_reservation_group","Enforce RG-MIDDLE-VOLGA-KAZAN at maximum one automatic package per wave; trim extended claims before compact or anchor claims."
"256","Chuvashia","IW-043|IW-046","Volga Bulgaria|Chuvashia","IW-043=anchor+compact|IW-046=anchor+compact","RG-MIDDLE-VOLGA-KAZAN","IW-043|IW-046","within_reservation_group","Enforce RG-MIDDLE-VOLGA-KAZAN at maximum one automatic package per wave; trim extended claims before compact or anchor claims."
"354","Trabzon","IW-067|IW-068","Lazistan|Pontus","IW-067=anchor+compact|IW-068=anchor+compact","RG-LAZISTAN|RG-PONTUS","IW-067|IW-068","cross_group_automatic_blocker","Merge the reservation groups or add an explicit state-level mutual exclusion before implementation; never permit both claims."
"425","Mysore","IW-141|IW-144","Mysore|Dravidian federation","IW-141=anchor+compact|IW-144=anchor+compact","RG-SOUTH-INDIA","IW-141","within_reservation_group","Enforce RG-SOUTH-INDIA at maximum one automatic package per wave; trim extended claims before compact or anchor claims."
"427","Hyderabad","IW-140|IW-144","Hyderabad|Dravidian federation","IW-140=anchor+compact|IW-144=anchor+compact","RG-SOUTH-INDIA","IW-140","within_reservation_group","Enforce RG-SOUTH-INDIA at maximum one automatic package per wave; trim extended claims before compact or anchor claims."
"432","Assam","IW-145|IW-149","Assam|Himalayan confederation","IW-145=anchor+compact|IW-149=anchor+compact","RG-NORTHEAST-HIMALAYA","IW-145","within_reservation_group","Enforce RG-NORTHEAST-HIMALAYA at maximum one automatic package per wave; trim extended claims before compact or anchor claims."
"441","Kashmir","IW-139|IW-149","Kashmir|Himalayan confederation","IW-139=anchor+compact|IW-149=anchor+compact","RG-NORTHEAST-HIMALAYA|RG-NORTHWEST-SOUTH-ASIA","IW-139","cross_group_route_exclusion","Add an explicit route-versus-package mutual exclusion; the route-only claim must never bypass the automatic package reservation."
"764","West Banat","IW-024|IW-025","Banat|Vojvodina","IW-024=extended|IW-025=extended","RG-DANUBE-BORDERLAND","IW-024|IW-025","within_reservation_group","Enforce RG-DANUBE-BORDERLAND at maximum one automatic package per wave; trim extended claims before compact or anchor claims."
"900","Benue","IW-106|IW-107","Aro Confederacy|Biafran regional state","IW-106=anchor+compact|IW-107=anchor+compact","RG-NIGERIA-COARSE","IW-106|IW-107","within_reservation_group","Enforce RG-NIGERIA-COARSE at maximum one automatic package per wave; trim extended claims before compact or anchor claims."
"902","Sokoto","IW-098|IW-100","Sokoto|Hausa Federation","IW-098=anchor+compact|IW-100=anchor+compact","RG-NIGERIA-COARSE","IW-098","within_reservation_group","Enforce RG-NIGERIA-COARSE at maximum one automatic package per wave; trim extended claims before compact or anchor claims."
"950","Araucanía","IW-197|IW-204","Mapuche or Wallmapu state|Araucania and Patagonia restoration","IW-197=anchor+compact|IW-204=anchor+compact","RG-SOUTHERN-CONE","IW-197|IW-204","within_reservation_group","Enforce RG-SOUTHERN-CONE at maximum one automatic package per wave; trim extended claims before compact or anchor claims."
"982","Madras States","IW-142|IW-143","Travancore|Tamil state","IW-142=anchor+compact|IW-143=anchor+compact","RG-SOUTH-INDIA","IW-142|IW-143","within_reservation_group","Enforce RG-SOUTH-INDIA at maximum one automatic package per wave; trim extended claims before compact or anchor claims."
"986","East Punjab","IW-134|IW-135","Punjab|Sikh state","IW-134=anchor+compact|IW-135=anchor+compact","RG-PUNJAB-SIKH","IW-134|IW-135","within_reservation_group","Enforce RG-PUNJAB-SIKH at maximum one automatic package per wave; trim extended claims before compact or anchor claims."
