tag,package_id,identity,root_kind,root_name,use_kind,file,country_path
DJX,IW-088,requires a named Tuareg confederation or regional Kel package,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\DJX - Unresearched Reservation.txt,HOI4 country history file
DMX,IW-091,requires a named Toubou or Teda-Daza regional package,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\DMX - Unresearched Reservation.txt,HOI4 country history file
DNX,IW-092,requires a named Atlas or Kabyle-adjacent regional package,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\DNX - Unresearched Reservation.txt,HOI4 country history file
ENX,IW-118,requires a named local Maasai territorial section and concrete district,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\ENX - Unresearched Reservation.txt,HOI4 country history file
EXX,IW-128,requires a named Nama community package,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\EXX - Unresearched Reservation.txt,HOI4 country history file
EYX,IW-129,requires one named Ovambo kingdom or district package,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\EYX - Unresearched Reservation.txt,HOI4 country history file
FPX,IW-146,requires a named Naga political package,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\FPX - Unresearched Reservation.txt,HOI4 country history file
GDX,IW-160,requires a named Karen political and territorial package,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\GDX - Unresearched Reservation.txt,HOI4 country history file
GGX,IW-163,requires a named Chin or Zo district and a self-chosen public name,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\GGX - Unresearched Reservation.txt,HOI4 country history file
GHX,IW-164,requires route and community settlement to choose Arakan or Rakhine,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\GHX - Unresearched Reservation.txt,HOI4 country history file
GLX,IW-168,requires a named Hmong regional package,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\GLX - Unresearched Reservation.txt,HOI4 country history file
HHX,IW-190,requires named Pueblo members and explicit consent,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\HHX - Unresearched Reservation.txt,HOI4 country history file
HMX,IW-195,requires one named Garifuna community and coast,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\HMX - Unresearched Reservation.txt,HOI4 country history file
HQX,IW-199,requires named regional Quechua members,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\HQX - Unresearched Reservation.txt,HOI4 country history file
HTX,IW-202,requires named Gran Chaco member peoples,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\HTX - Unresearched Reservation.txt,HOI4 country history file
HWX,IW-205,requires named Amazonian river peoples and one anchor,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\HWX - Unresearched Reservation.txt,HOI4 country history file
HXX,IW-206,requires a named historical maroon community,chaos_redux_non_event6,chaos_redux,country_history_filename,C:\Users\klimp\OneDrive\Documents\Paradox Interactive\Hearts of Iron IV\mod\chaos_redux\history\countries\HXX - Unresearched Reservation.txt,HOI4 country history file
