package_id,identity,proposed_tag,vanilla_kind,vanilla_identifier,vanilla_name,confidence,similarity
IW-018,Sardinia,ARX,country_tag,SPM,United States of Savoy and Sardinia,manual_review,1.0
IW-018,Sardinia,ARX,country_tag,SPM,Sardinia-Piedmont,manual_review,1.0
IW-018,Sardinia,ARX,country_tag,SPM,Sardinia Piedmont,manual_review,1.0
IW-037,Polesia,BKX,cosmetic_tag,united_polynesia,the United Kingdom of Polynesia,manual_review,0.875
IW-037,Polesia,BKX,cosmetic_tag,united_polynesia,United Kingdom of Polynesia,manual_review,0.875
IW-037,Polesia,BKX,cosmetic_tag,united_polynesia,Polynesia,manual_review,0.875
IW-037,Polesia,BKX,cosmetic_tag,united_polynesia,the Polynesian Empire,manual_review,0.8235
IW-037,Polesia,BKX,cosmetic_tag,united_polynesia,Polynesian Empire,manual_review,0.8235
IW-037,Polesia,BKX,cosmetic_tag,united_polynesia,Polynesian,manual_review,0.8235
IW-061,Luristan,CIX,country_tag,KUR,Socialist Republic of Kurdistan,manual_review,0.8235
IW-061,Luristan,CIX,country_tag,KUR,Kurdistan,manual_review,0.8235
IW-061,Luristan,CIX,country_tag,KUR,Kingdom of Kurdistan,manual_review,0.8235
IW-061,Luristan,CIX,cosmetic_tag,IRQ_kurdistan_tag,the Socialist Republic of Kurdistan,manual_review,0.8235
IW-061,Luristan,CIX,cosmetic_tag,IRQ_kurdistan_tag,the Kingdom of Kurdistan,manual_review,0.8235
IW-061,Luristan,CIX,cosmetic_tag,IRQ_kurdistan_tag,Socialist Republic of Kurdistan,manual_review,0.8235
IW-061,Luristan,CIX,cosmetic_tag,IRQ_kurdistan_tag,Kurdistan,manual_review,0.8235
IW-061,Luristan,CIX,cosmetic_tag,IRQ_kurdistan_tag,Kingdom of Kurdistan,manual_review,0.8235
IW-064,Circassia,CLX,country_tag,KBK,Circassian Realm,manual_review,0.9474
IW-100,Hausa Federation,DVX,country_tag,SOV,Russian Federation,manual_review,0.8235
IW-117,Kilwa restoration,EMX,cosmetic_tag,JAP_showa_restoration,Showa Restoration,manual_review,0.8235
IW-144,Dravidian federation,FNX,cosmetic_tag,ARA_UNIFIED,Arabian Federation,manual_review,0.8421
IW-159,Shan federation,GCX,country_tag,SOV,Russian Federation,manual_review,0.8485
IW-163,Chin state,GGX,country_tag,RNG,China,manual_review,0.8889
IW-163,Chin state,GGX,country_tag,PRC,China,manual_review,0.8889
IW-163,Chin state,GGX,country_tag,MAN,China,manual_review,0.8889
IW-163,Chin state,GGX,country_tag,CHI,Republic of China,manual_review,0.8889
IW-163,Chin state,GGX,country_tag,CHI,China,manual_review,0.8889
IW-163,Chin state,GGX,cosmetic_tag,TSR_empire_of_china,the Empire of China,manual_review,0.8889
IW-163,Chin state,GGX,cosmetic_tag,TSR_empire_of_china,Empire of China,manual_review,0.8889
IW-163,Chin state,GGX,cosmetic_tag,PRC_proclaimed,the People's Republic of China,manual_review,0.8889
IW-169,East Turkestan,GMX,country_tag,TMS,Turkestan Autonomous Soviet Socialist Republic,manual_review,1.0
IW-169,East Turkestan,GMX,country_tag,RKT,the Reichskommissariat Turkestan,manual_review,1.0
IW-169,East Turkestan,GMX,country_tag,RKT,Volkskommissariat Turkestan,manual_review,1.0
IW-169,East Turkestan,GMX,country_tag,RKT,Reichskommissariat Turkestan,manual_review,1.0
IW-169,East Turkestan,GMX,country_tag,RKT,Reichskommisariat Turkestan,manual_review,1.0
IW-169,East Turkestan,GMX,country_tag,RKT,Grand Duchy of Turkestan,manual_review,1.0
IW-169,East Turkestan,GMX,country_tag,RKT,Bundesstaat Turkestan,manual_review,1.0
IW-169,East Turkestan,GMX,cosmetic_tag,turkestan_united,Turkestan,manual_review,1.0
IW-174,Aotearoa Maori state,GRX,country_tag,NZL,People's Republic of Aotearoa,manual_review,1.0
IW-190,Pueblo federation,HHX,country_tag,COS,Costa del Pueblo,manual_review,1.0
IW-193,Zapotec-Mixtec Oaxaca federation,HKX,cosmetic_tag,indigenous_mexico,the Huastec-Mixtec-Aztec-Mexican United People's Republic,manual_review,1.0
IW-193,Zapotec-Mixtec Oaxaca federation,HKX,cosmetic_tag,indigenous_mexico,Huastec-Mixtec-Aztec-Mexican United People's Republic,manual_review,1.0
IW-203,Patagonian state,HUX,country_tag,WLA,Ymerodraeth Patagonia,manual_review,0.9474
IW-203,Patagonian state,HUX,country_tag,WLA,Cymun Patagonia,manual_review,0.9474
IW-203,Patagonian state,HUX,cosmetic_tag,kingdom_of_araucania_and_patagonia,the Kingdom of Araucanía and Patagonia,manual_review,0.9474
IW-203,Patagonian state,HUX,cosmetic_tag,kingdom_of_araucania_and_patagonia,Kingdom of Araucanía and Patagonia,manual_review,0.9474
IW-205,Amazonian confederation,HWX,cosmetic_tag,HUN_EMPIRE,Danubian Confederation,manual_review,0.8444
IW-205,Amazonian confederation,HWX,cosmetic_tag,antilles,Antillean Confederation,manual_review,0.8261
IW-206,Maroon republic,HXX,country_tag,PAP,Roman Republic,manual_review,0.8276
IW-206,Maroon republic,HXX,country_tag,ORO,Oromo Republic,manual_review,0.8276
