source,category,bytes,lines,sha256,read_status,note
AGENTS.md,project source,44442,431,ba5f6799c692f461e3922e0a2e6687516bba210206c3758b07c37fce5cfb56d4,FULL TEXT READ,Identity hash is not proof of comprehension
CHAOS_REDUX_MECHANICS.md,project source,41848,855,e3f21aca358f84d085222272bccd1d2896b4c0ef4bb418de079f882975e35da1,FULL TEXT READ,Identity hash is not proof of comprehension
README.md,project source,2857,42,9f713e2dcaf1e0fad5b070b8a921b23a648a1a01583e4f698cdd50e8e66bce74,FULL TEXT READ,Identity hash is not proof of comprehension
chaos-redux-3d-model-pipeline.md,project source,96728,477,45ffc273c4df5ec479c83f193815d2c9ffd6092e18cec54242544c08684442f7,FULL TEXT READ,Identity hash is not proof of comprehension
chaos-redux-comfyui.md,project source,2456,21,125daa4e66957fcf02f5cd91e3a0a17f4a99395ad0f40c7ae376b4b59393b303,FULL TEXT READ,Identity hash is not proof of comprehension
chaos-redux-debug-playtest.md,project source,34086,698,9c6e27b8a86fd27422d8b2ec5302ac6fa7c64d89a564dbbda71db238190e3549,FULL TEXT READ,Identity hash is not proof of comprehension
chaos-redux-decisions-missions.md,project source,64394,1022,bd92b691ec78d81db2fe9c19f5574e21969dfa951ef08dbb9dc80085cc2034d9,FULL TEXT READ,Identity hash is not proof of comprehension
chaos-redux-event-assets.md,project source,109712,1004,6766e846130e22a1ac0cea89e32bb0fca9495828216a130c1a882e1544212bfd,FULL TEXT READ,Identity hash is not proof of comprehension
chaos-redux-event-planning.md,project source,197109,2297,4a1a0a46ffe4145d61fe0992ad7eb82650c386af028b21a1dbd10a6e227881cb,FULL TEXT READ,Identity hash is not proof of comprehension
chaos-redux-events.md,project source,80791,833,42b1c53c5996f8bb495426b9ebdc6854cdd4309744feddb26df781a0692dd036,FULL TEXT READ,Identity hash is not proof of comprehension
chaos-redux-focus-trees.md,project source,98951,1505,74805c1f8522ee8630912fd8946c6d547fd43d61e4a907fc71ba08a803253d3f,FULL TEXT READ,Identity hash is not proof of comprehension
chaos-redux-frame-animation.md,project source,28266,501,86469ff50f33ead0690d3709b0523de1992f01a29713b801a6dd08c27b1be870,FULL TEXT READ,Identity hash is not proof of comprehension
chaos-redux-improvement-loop.md,project source,28515,289,ca2b6a001f691f2b247823b5b9914a3d04076dff429aa85bc035aa34f6124d73,FULL TEXT READ,Identity hash is not proof of comprehension
