batch_index,range_index,start_province,end_province,count
0,0,2,3,2
0,1,6,8,3
0,2,10,12,3
0,3,14,15,2
0,4,17,18,2
0,5,21,23,3
0,6,26,27,2
0,7,30,32,3
0,8,35,40,6
0,9,44,46,3
0,10,49,49,1
0,11,52,53,2
0,12,57,58,2
0,13,60,208,149
0,14,211,212,2
0,15,214,216,3
0,16,219,219,1
0,17,221,223,3
0,18,226,228,3
0,19,231,233,3
0,20,236,238,3
0,21,241,243,3
0,22,246,248,3
0,23,252,253,2
0,24,256,257,2
0,25,260,261,2
0,26,265,266,2
0,27,268,302,35
1,0,303,410,108
1,1,413,415,3
1,2,417,418,2
1,3,421,422,2
1,4,424,426,3
1,5,429,429,1
1,6,432,434,3
1,7,437,438,2
1,8,441,442,2
1,9,444,445,2
1,10,449,449,1
1,11,452,454,3
1,12,457,458,2
1,13,462,464,3
1,14,466,578,113
2,0,579,592,14
2,1,595,596,2
2,2,598,599,2
2,3,602,603,2
2,4,605,607,3
2,5,610,611,2
2,6,614,615,2
2,7,618,620,3
2,8,624,625,2
2,9,628,630,3
2,10,634,634,1
2,11,636,638,3
2,12,641,642,2
2,13,646,646,1
2,14,648,785,138
2,15,788,790,3
2,16,792,794,3
2,17,797,801,5
2,18,804,806,3
2,19,809,810,2
2,20,813,814,2
2,21,817,819,3
2,22,822,823,2
2,23,827,829,3
2,24,831,833,3
2,25,836,837,2
2,26,841,841,1
2,27,844,881,38
3,0,882,989,108
3,1,992,994,3
3,2,996,998,3
3,3,1001,1006,6
3,4,1009,1010,2
3,5,1013,1015,3
3,6,1018,1020,3
3,7,1023,1025,3
3,8,1027,1029,3
3,9,1033,1034,2
3,10,1036,1038,3
3,11,1041,1043,3
3,12,1046,1048,3
3,13,1051,1155,105
4,0,1156,1210,55
4,1,1213,1214,2
4,2,1216,1217,2
4,3,1220,1225,6
4,4,1228,1230,3
4,5,1233,1234,2
4,6,1237,1239,3
4,7,1242,1244,3
4,8,1246,1248,3
4,9,1252,1254,3
4,10,1257,1258,2
4,11,1261,1263,3
4,12,1267,1269,3
4,13,1272,1431,160
5,0,1432,1433,2
5,1,1436,1438,3
5,2,1440,1441,2
5,3,1444,1446,3
5,4,1448,1450,3
5,5,1453,1455,3
5,6,1458,1460,3
5,7,1463,1464,2
5,8,1467,1469,3
5,9,1472,1474,3
5,10,1478,1480,3
5,11,1483,1485,3
5,12,1488,1489,2
5,13,1492,1494,3
5,14,1497,1659,163
5,15,1662,1664,3
5,16,1666,1668,3
5,17,1671,1672,2
5,18,1674,1676,3
5,19,1678,1680,3
5,20,1683,1685,3
5,21,1688,1690,3
5,22,1693,1694,2
5,23,1696,1698,3
5,24,1702,1704,3
5,25,1707,1709,3
5,26,1712,1714,3
5,27,1718,1719,2
5,28,1722,1734,13
6,0,1735,1884,150
6,1,1887,1889,3
6,2,1891,1893,3
6,3,1896,1898,3
6,4,1900,1901,2
6,5,1903,1905,3
6,6,1908,1910,3
6,7,1913,1915,3
6,8,1918,1920,3
6,9,1922,1923,2
6,10,1927,1929,3
6,11,1932,1934,3
6,12,1937,1939,3
6,13,1943,1945,3
6,14,1947,2009,63
7,0,2010,2106,97
7,1,2109,2109,1
7,2,2111,2111,1
7,3,2114,2117,4
7,4,2120,2120,1
7,5,2123,2123,1
7,6,2126,2126,1
7,7,2129,2130,2
7,8,2132,2133,2
