asset_key,asset_type,family,intended_in_game_use,source_mode,target_size,required_variants,visual_direction,avoid,suggested_filename,suggested_sprite_name,final_game_folder,reference_folder,animation_brief,status
entry_proclamation,report event image,Event pictures,entry proclamation and host reveal,generated alternate-history documentary scene,210x176,one report-card image,"period crowd, host leader or council, local capital setting, hand-held or mounted continental symbol, documentary composition","map-only composition, readable generated text, modern props",report_event_012_africa_entry_proclamation.dds,GFX_report_event_012_africa_entry_proclamation,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/report,static,installed_runtime
first_protection_request,report event image,Event pictures,first African government asks for protection,generated or sourced according to final actor,210x176,one actor-aware image family,"official delegation, threatened civilians or troops, transport corridor, period documentary focus","generic handshake, anonymous conference room, modern clothing",report_event_012_africa_first_protection_request.dds,GFX_report_event_012_africa_first_protection_request,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/report,static,installed_runtime
first_defended_partner,report event image,Event pictures,first successful defence of an African partner,generated alternate-history documentary scene,210x176,one image,African troops and volunteers holding a real terrain feature or transport hub,"victory parade detached from battle context, modern equipment",report_event_012_africa_first_defended_partner.dds,GFX_report_event_012_africa_first_defended_partner,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/report,static,installed_runtime
first_failed_guarantee,report event image,Event pictures,first broken or failed guarantee,generated alternate-history documentary scene,210x176,one image,"refugees, abandoned defensive works, lost rail or port access, concrete human cost","abstract broken map, melodramatic title card",report_event_012_africa_first_failed_guarantee.dds,GFX_report_event_012_africa_first_failed_guarantee,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/report,static,installed_runtime
first_regional_congress,report event image,Event pictures,first regional congress,generated period documentary scene with sourced architectural reference when needed,210x176,regional variants optional,delegates from distinct governments in a regionally grounded hall or courtyard,"generic European conference room, readable banners",report_event_012_africa_first_regional_congress.dds,GFX_report_event_012_africa_first_regional_congress,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/report,static,installed_runtime
first_member_departure,report event image,Event pictures,first League member departure,generated alternate-history documentary scene,210x176,one image,"delegation leaving, flag and luggage, divided supporters, guarded but nonviolent exit","paperwork close-up, empty map",report_event_012_africa_first_member_departure.dds,GFX_report_event_012_africa_first_member_departure,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/report,static,installed_runtime
first_restoration,report event image,Event pictures,first restored historical polity,"mixed, sourced architecture or symbol plus generated alternate-history scene",210x176,actor-aware variants by highest-priority restoration family,"public ceremony, court or civic assembly, researched symbol and regional setting","invented historical symbol presented as authentic, costume fantasy without source review",report_event_012_africa_first_restoration.dds,GFX_report_event_012_africa_first_restoration,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/report,static,installed_runtime
first_diaspora_arrival,report event image,Event pictures,first voluntary diaspora arrival,generated period documentary scene,210x176,one image with route-aware transport,"ship or train arrival, families, tools and luggage, local reception, consent and ordinary life","forced march imagery, celebratory caricature, modern airport",report_event_012_africa_first_diaspora_arrival.dds,GFX_report_event_012_africa_first_diaspora_arrival,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/report,static,installed_runtime
first_continental_corridor,report event image,Event pictures,first major corridor completion,generated period documentary scene,210x176,"rail, river, road, or port variant","workers and transport using a completed corridor, clear local terrain and infrastructure","blueprint-only scene, map arrows",report_event_012_africa_first_continental_corridor.dds,GFX_report_event_012_africa_first_continental_corridor,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/report,static,installed_runtime
first_high_chaos_manifestation,report event image,Event pictures,first visible high-chaos manifestation,generated fictional documentary scene,210x176,actor-specific variant if feasible,clearly impossible actor or natural phenomenon observed at human scale with period photographic treatment,"human ethnic caricature, modern fantasy concept art, comedy framing",report_event_012_africa_first_high_chaos_manifestation.dds,GFX_report_event_012_africa_first_high_chaos_manifestation,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/report,static,installed_runtime
league_formation,news event image,News pictures,Charter League formation,generated period press scene,397x153,one black-and-white image,"large but readable assembly, flags without generated text, period press photography","colour image, map-only composition, modern summit",news_event_012_africa_league_formation.dds,GFX_news_event_012_africa_league_formation,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/news,static,installed_runtime
colonial_withdrawal,news event image,News pictures,major colonial withdrawal,generated or sourced according to final case,397x153,one black-and-white image,"troops, officials, dock or rail departure, local takeover of institutions","humiliation caricature, wrong-era equipment",news_event_012_africa_colonial_withdrawal.dds,GFX_news_event_012_africa_colonial_withdrawal,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/news,static,installed_runtime
rival_bloc,news event image,News pictures,formation of a rival African bloc,generated period press scene,397x153,one black-and-white image,"regional leaders, distinct flags, military or civic supporters, visible alternative center","bureaucratic chart, generic handshake",news_event_012_africa_rival_bloc.dds,GFX_news_event_012_africa_rival_bloc,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/news,static,installed_runtime
africa_is_one_news,news event image,News pictures,Africa is one news event,generated alternate-history press panorama,397x153,one black-and-white image,"continental public celebration with trains, troops, delegates, and multiple regions implied through people and setting","border map as main subject, readable slogans",news_event_012_africa_is_one.dds,GFX_news_event_012_africa_is_one,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/news,static,installed_runtime
scramble_response_news,news event image,News pictures,outside-power Scramble response,generated alternate-history press scene,397x153,one black-and-white image,"foreign mobilisation, crowded port, warships or sanctions queues with Africa as active subject through delegations or defence","generic war room, colonial stereotype",news_event_012_africa_scramble_response.dds,GFX_news_event_012_africa_scramble_response,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/news,static,installed_runtime
continental_war_news,news event image,News pictures,first war between continent-scale powers,generated alternate-history press scene,397x153,one black-and-white image,"mass transport, distant front, mixed continental armies, period global-war scale","modern weapons, simple globe graphic",news_event_012_africa_continental_war.dds,GFX_news_event_012_africa_continental_war,gfx/event_pictures/012_africa/,assets/vanilla_reference/event_art/news,static,installed_runtime
