focus_id,branch,branch_index,content_layer,availability_gate,duration_days,prerequisite,mechanical_role,payoff_direction
bul_048_awakening_01,National Awakening,1,base_tree,baseline,35,,"opening readiness, claims, mobilisation, and state organization",unlocks or strengthens an immediate event action
bul_048_awakening_02,National Awakening,2,base_tree,baseline,35,bul_048_awakening_01,"opening readiness, claims, mobilisation, and state organization",unlocks or strengthens an immediate event action
bul_048_awakening_03,National Awakening,3,base_tree,baseline,35,bul_048_awakening_02,"opening readiness, claims, mobilisation, and state organization",unlocks or strengthens an immediate event action
bul_048_awakening_04,National Awakening,4,base_tree,baseline,35,bul_048_awakening_03,"opening readiness, claims, mobilisation, and state organization",unlocks or strengthens an immediate event action
bul_048_awakening_05,National Awakening,5,base_tree,baseline,35,bul_048_awakening_04,"opening readiness, claims, mobilisation, and state organization",unlocks or strengthens an immediate event action
bul_048_awakening_06,National Awakening,6,base_tree,baseline,35,bul_048_awakening_05,"opening readiness, claims, mobilisation, and state organization",unlocks or strengthens an immediate event action
bul_048_awakening_07,National Awakening,7,base_tree,baseline,35,bul_048_awakening_06,"opening readiness, claims, mobilisation, and state organization",unlocks or strengthens an immediate event action
bul_048_awakening_08,National Awakening,8,base_tree,baseline,35,bul_048_awakening_07,"opening readiness, claims, mobilisation, and state organization",unlocks or strengthens an immediate event action
bul_048_awakening_09,National Awakening,9,base_tree,baseline,70,bul_048_awakening_08,"opening readiness, claims, mobilisation, and state organization",unlocks or strengthens an immediate event action
bul_048_awakening_10,National Awakening,10,base_tree,baseline,70,bul_048_awakening_09,"opening readiness, claims, mobilisation, and state organization",unlocks or strengthens an immediate event action
bul_048_awakening_11,National Awakening,11,base_tree,baseline,70,bul_048_awakening_10,"opening readiness, claims, mobilisation, and state organization",unlocks or strengthens an immediate event action
bul_048_awakening_12,National Awakening,12,base_tree,baseline,70,bul_048_awakening_11,"opening readiness, claims, mobilisation, and state organization",unlocks or strengthens an immediate event action
bul_048_government_01,Government of the Greater State,1,base_tree,baseline,70,bul_048_awakening_04,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_02,Government of the Greater State,2,base_tree,baseline,70,bul_048_government_01,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_03,Government of the Greater State,3,base_tree,baseline,70,bul_048_government_02,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_04,Government of the Greater State,4,base_tree,baseline,70,bul_048_government_03,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_05,Government of the Greater State,5,base_tree,baseline,70,bul_048_government_04,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_06,Government of the Greater State,6,base_tree,baseline,70,bul_048_government_05,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_07,Government of the Greater State,7,base_tree,baseline,70,bul_048_government_06,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_08,Government of the Greater State,8,base_tree,baseline,70,bul_048_government_07,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_09,Government of the Greater State,9,base_tree,baseline,70,bul_048_government_08,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_10,Government of the Greater State,10,base_tree,baseline,70,bul_048_government_09,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_11,Government of the Greater State,11,base_tree,baseline,70,bul_048_government_10,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_12,Government of the Greater State,12,base_tree,baseline,70,bul_048_government_11,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_13,Government of the Greater State,13,base_tree,baseline,70,bul_048_government_12,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_14,Government of the Greater State,14,base_tree,baseline,70,bul_048_government_13,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_15,Government of the Greater State,15,base_tree,baseline,70,bul_048_government_14,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_16,Government of the Greater State,16,base_tree,baseline,70,bul_048_government_15,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_17,Government of the Greater State,17,base_tree,baseline,70,bul_048_government_16,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_18,Government of the Greater State,18,base_tree,baseline,70,bul_048_government_17,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_19,Government of the Greater State,19,base_tree,baseline,70,bul_048_government_18,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_government_20,Government of the Greater State,20,base_tree,baseline,70,bul_048_government_19,"political settlement, leadership, administration, and law direction",changes government policy or administrative route
bul_048_army_01,The Bulgarian Army Reborn,1,base_tree,baseline,70,bul_048_awakening_03,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_02,The Bulgarian Army Reborn,2,base_tree,baseline,70,bul_048_army_01,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_03,The Bulgarian Army Reborn,3,base_tree,baseline,70,bul_048_army_02,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_04,The Bulgarian Army Reborn,4,base_tree,baseline,70,bul_048_army_03,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_05,The Bulgarian Army Reborn,5,base_tree,baseline,70,bul_048_army_04,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_06,The Bulgarian Army Reborn,6,base_tree,baseline,70,bul_048_army_05,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_07,The Bulgarian Army Reborn,7,base_tree,baseline,70,bul_048_army_06,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_08,The Bulgarian Army Reborn,8,base_tree,baseline,70,bul_048_army_07,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_09,The Bulgarian Army Reborn,9,base_tree,baseline,70,bul_048_army_08,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_10,The Bulgarian Army Reborn,10,base_tree,baseline,70,bul_048_army_09,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_11,The Bulgarian Army Reborn,11,base_tree,baseline,70,bul_048_army_10,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_12,The Bulgarian Army Reborn,12,base_tree,baseline,70,bul_048_army_11,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
