asset_id,asset_type,runtime_role,working_visual_direction,source_mode,variant_count,reference_family,final_status_requirement
famine_category,decision category icon,famine category button,"railway ticket, ration tag and relief depot combined in one clear HOI4 symbol",imagegen icon,1,icons/decision_categories,"separate source, processed PNG, DDS, sprite handoff"
migration_category,decision category icon,migration category button,"border gate, shelter tag and civilian luggage combined in one clear HOI4 symbol",imagegen icon,1,icons/decision_categories,"separate source, processed PNG, DDS, sprite handoff"
famine_category_picture,decision category picture,famine static category picture,"grain depot or ration distribution with relief staff and civilians, no fake controls or text",generated period documentary or sourced archival,1,icons/decision_categories/pictures,"period-appropriate source, DDS and manifest"
migration_category_picture,decision category picture,migration static category picture,"wartime railway platform or border reception with civilians, relief staff and luggage, no fake controls or text",generated period documentary or sourced archival,1,icons/decision_categories/pictures,"period-appropriate source, DDS and manifest"
famine_state_supply_strain,state modifier icon,food stage 1,ration card and partly filled grain measure,imagegen icon,1,icons/state_modifiers,distinct source art
famine_state_acute_shortage,state modifier icon,food stage 2,emptying grain measure and damaged route,imagegen icon,1,icons/state_modifiers,distinct source art
famine_state_famine,state modifier icon,food stage 3,"empty bowl, broken wheat and rail obstruction",imagegen icon,1,icons/state_modifiers,distinct source art
famine_state_catastrophic_famine,state modifier icon,food stage 4,"collapsed grain store and sealed route, serious without graphic bodies",imagegen icon,1,icons/state_modifiers,distinct source art
migration_state_exodus,state modifier icon,active civilian exodus,family bundles and road or rail movement,imagegen icon,1,icons/state_modifiers,transparent icon
migration_state_reception,state modifier icon,receiving state,"shelter, ration and registration symbols",imagegen icon,1,icons/state_modifiers,transparent icon
migration_state_overcrowded,state modifier icon,overloaded receiving state,crowded shelter and strained supply symbol,imagegen icon,1,icons/state_modifiers,transparent icon
migration_state_trapped_border,state modifier icon,blocked movement,closed gate with civilian bundles on origin side,imagegen icon,1,icons/state_modifiers,transparent icon
migration_state_return,state modifier icon,return and resettlement,"home, rail and reconstruction symbol",imagegen icon,1,icons/state_modifiers,transparent icon
famine_decision_release_reserves,decision icon,rationing and reserves,grain sacks opened under official ration control,imagegen icon,1,icons/decisions,32x32-specific source
famine_decision_relief_convoy,decision icon,maritime relief,cargo ship with escort and relief crate,imagegen icon,1,icons/decisions,32x32-specific source
famine_decision_airlift,decision icon,air relief,transport aircraft dropping marked relief crate without generated text,imagegen icon,1,icons/decisions,32x32-specific source
famine_decision_evacuation,decision icon,organized famine evacuation,train and civilian suitcase symbol,imagegen icon,1,icons/decisions,32x32-specific source
migration_decision_evacuate,decision icon,organized migration evacuation,train and civilian suitcase symbol,imagegen icon,1,icons/decisions,32x32-specific source
migration_decision_open_border,decision icon,humanitarian entry,open gate and shelter symbol,imagegen icon,1,icons/decisions,32x32-specific source
migration_decision_close_border,decision icon,border closure,closed gate and barrier,imagegen icon,1,icons/decisions,32x32-specific source
migration_decision_quarantine,decision icon,controlled medical reception,shelter and medical inspection symbol,imagegen icon,1,icons/decisions,32x32-specific source
migration_decision_distribute,decision icon,move arrivals inland,rail junction and shelter arrows represented without map UI,imagegen icon,1,icons/decisions,32x32-specific source
migration_decision_integrate,decision icon,local integration,"home, work tool and family symbol",imagegen icon,1,icons/decisions,32x32-specific source
migration_decision_return,decision icon,voluntary return,homeward rail and repaired house,imagegen icon,1,icons/decisions,32x32-specific source
report_event_famine_generic,report image,first famine report,"period documentary scene of ration line, closed grain store and relief workers, no identifiable real victim required",generated period documentary,1,event_art/report,"source PNG, processed preview, DDS, prompt record"
report_event_famine_island_blockade,report image,island famine,"damaged port, idle cargo cranes and civilians waiting for relief in a 1936 to 1945 setting",generated period documentary,1,event_art/report,"source PNG, DDS and manifest"
report_event_migration_wartime_evacuation,report image,organized evacuation,period railway evacuation with families and luggage,sourced archival or generated period documentary,1,event_art/report,rights and provenance if sourced
report_event_migration_closed_border,report image,trapped population,"period border checkpoint with closed gate, waiting civilians and guards, no modern objects",generated period documentary,1,event_art/report,source PNG and DDS
report_event_famine_relief_arrival,report image,relief success,food convoy unloading at damaged station or port with local relief distribution,generated period documentary,1,event_art/report,source PNG and DDS
report_event_migration_nuclear_evacuation,report image,nuclear survivor movement,"distant damaged city, ash, organized evacuation and medical staff, no graphic injury",generated alternate-history documentary,1,event_art/report,source PNG and DDS
report_event_migration_return,report image,voluntary return,families returning by rail to damaged but repairing town,generated period documentary,1,event_art/report,source PNG and DDS
famine_deaths,modifier or texticon,Deaths reason display,empty bowl and broken grain stalk,imagegen icon,1,matching Deaths UI family after inspection,only create if current UI supports per-reason icons
migration_deaths_forced_displacement,modifier or texticon,Deaths reason display,broken rail route and luggage,imagegen icon,1,matching Deaths UI family after inspection,only create if current UI supports per-reason icons
